ovm_0011,-0.00000,-0.47714,0.29805,
ovm_0012,-0.00000,-0.42034,0.29805,
ovm_0013,-0.00000,-0.42034,0.35471,
ovm_0014,-0.00000,-0.47711,0.35467,
ovm_0021,-0.00000,-0.39534,0.29804,
ovm_0022,-0.00000,-0.33881,0.29805,
ovm_0023,-0.00000,-0.33881,0.35470,
ovm_0024,-0.00000,-0.39531,0.35468,
ovm_0031,-0.00000,-0.31358,0.29804,
ovm_0032,-0.00000,-0.25746,0.29805,
ovm_0033,-0.00000,-0.25745,0.35471,
ovm_0034,-0.00000,-0.31356,0.35469,
ovm_0041,-0.00000,-0.23223,0.29805,
ovm_0042,-0.00000,-0.17576,0.29805,
ovm_0043,-0.00000,-0.17576,0.35471,
ovm_0044,-0.00000,-0.23222,0.35469,
ovm_0051,-0.00000,-0.15059,0.29804,
ovm_0052,-0.00000,-0.09406,0.29805,
ovm_0053,-0.00000,-0.09406,0.35471,
ovm_0054,-0.00000,-0.15058,0.35471,
ovm_0061,-0.00000,-0.06884,0.29805,
ovm_0062,-0.00000,-0.01278,0.29804,
ovm_0063,-0.00000,-0.01278,0.35472,
ovm_0064,-0.00000,-0.06884,0.35471,
ovm_0071,-0.00000,0.01278,0.29804,
ovm_0072,-0.00000,0.06884,0.29805,
ovm_0073,-0.00000,0.06884,0.35471,
ovm_0074,-0.00000,0.01278,0.35472,
ovm_0081,-0.00000,0.09406,0.29805,
ovm_0082,-0.00000,0.15058,0.29804,
ovm_0083,-0.00000,0.15058,0.35471,
ovm_0084,-0.00000,0.09406,0.35471,
ovm_0091,-0.00000,0.17576,0.29805,
ovm_0092,-0.00000,0.23223,0.29805,
ovm_0093,-0.00000,0.23222,0.35468,
ovm_0094,-0.00000,0.17576,0.35471,
ovm_0101,-0.00000,0.25746,0.29805,
ovm_0102,-0.00000,0.31358,0.29804,
ovm_0103,-0.00000,0.31356,0.35469,
ovm_0104,-0.00000,0.25745,0.35471,
ovm_0111,-0.00000,0.33881,0.29805,
ovm_0112,-0.00000,0.39534,0.29805,
ovm_0113,-0.00000,0.39531,0.35468,
ovm_0114,-0.00000,0.33880,0.35470,
ovm_0121,-0.00000,0.42034,0.29805,
ovm_0122,-0.00000,0.47713,0.29805,
ovm_0123,-0.00000,0.47711,0.35468,
ovm_0124,-0.00000,0.42033,0.35471,
ovm_0141,-0.00000,-0.47712,0.21646,
ovm_0142,-0.00000,-0.42035,0.21645,
ovm_0143,-0.00000,-0.42034,0.27294,
ovm_0144,-0.00000,-0.47711,0.27291,
ovm_0151,-0.00000,-0.39533,0.21645,
ovm_0152,-0.00000,-0.33882,0.21646,
ovm_0153,-0.00000,-0.33880,0.27293,
ovm_0154,-0.00000,-0.39533,0.27292,
ovm_0161,-0.00000,-0.31357,0.21645,
ovm_0162,-0.00000,-0.25746,0.21645,
ovm_0163,-0.00000,-0.25745,0.27293,
ovm_0164,-0.00000,-0.31357,0.27292,
ovm_0171,-0.00000,-0.23222,0.21646,
ovm_0172,-0.00000,-0.17577,0.21645,
ovm_0173,-0.00000,-0.17576,0.27293,
ovm_0174,-0.00000,-0.23223,0.27292,
ovm_0181,-0.00000,-0.15058,0.21645,
ovm_0182,-0.00000,-0.09407,0.21645,
ovm_0183,-0.00000,-0.09406,0.27293,
ovm_0184,-0.00000,-0.15059,0.27293,
ovm_0191,-0.00000,-0.06882,0.21645,
ovm_0192,-0.00000,-0.01279,0.21645,
ovm_0193,-0.00000,-0.01278,0.27294,
ovm_0194,-0.00000,-0.06884,0.27294,
ovm_0201,-0.00000,0.01279,0.21645,
ovm_0202,-0.00000,0.06883,0.21645,
ovm_0203,-0.00000,0.06884,0.27294,
ovm_0204,-0.00000,0.01278,0.27294,
ovm_0211,-0.00000,0.09407,0.21645,
ovm_0212,-0.00000,0.15057,0.21645,
ovm_0213,-0.00000,0.15058,0.27294,
ovm_0214,-0.00000,0.09406,0.27293,
ovm_0221,-0.00000,0.17576,0.21645,
ovm_0222,-0.00000,0.23222,0.21646,
ovm_0223,-0.00000,0.23223,0.27292,
ovm_0224,-0.00000,0.17575,0.27293,
