ovm_0011,	278.032,	601.857,	0,
ovm_0012,	601.88,	601.88,	0,
ovm_0013,	601.894,	278.796,	0,
ovm_0014,	278.167,	279.001,	0,
ovm_0021,	744.437,	601.894,	0,
ovm_0022,	1066.74,	601.853,	0,
ovm_0023,	1066.75,	278.833,	0,
ovm_0024,	744.589,	278.963,	0,
ovm_0031,	1210.58,	601.898,	0,
ovm_0032,	1530.59,	601.88,	0,
ovm_0033,	1530.61,	278.796,	0,
ovm_0034,	1210.72,	278.912,	0,
ovm_0041,	1674.41,	601.852,	0,
ovm_0042,	1996.41,	601.881,	0,
ovm_0043,	1996.43,	278.8,	0,
ovm_0044,	1674.46,	278.935,	0,
ovm_0051,	2139.93,	601.896,	0,
ovm_0052,	2462.23,	601.88,	0,
ovm_0053,	2462.24,	278.796,	0,
ovm_0054,	2139.99,	278.814,	0,
ovm_0061,	2606.05,	601.885,	0,
ovm_0062,	2925.66,	601.899,	0,
ovm_0063,	2925.68,	278.766,	0,
ovm_0064,	2606.04,	278.792,	0,
ovm_0071,	3071.41,	601.899,	0,
ovm_0072,	3391.02,	601.886,	0,
ovm_0073,	3391.04,	278.795,	0,
ovm_0074,	3071.4,	278.761,	0,
ovm_0081,	3534.84,	601.881,	0,
ovm_0082,	3857.11,	601.899,	0,
ovm_0083,	3857.09,	278.812,	0,
ovm_0084,	3534.82,	278.796,	0,
ovm_0091,	4000.66,	601.88,	0,
ovm_0092,	4322.66,	601.852,	0,
ovm_0093,	4322.62,	278.956,	0,
ovm_0094,	4000.65,	278.797,	0,
ovm_0101,	4466.48,	601.88,	0,
ovm_0102,	4786.49,	601.898,	0,
ovm_0103,	4786.35,	278.904,	0,
ovm_0104,	4466.46,	278.792,	0,
ovm_0111,	4930.34,	601.855,	0,
ovm_0112,	5252.67,	601.89,	0,
ovm_0113,	5252.48,	278.951,	0,
ovm_0114,	4930.31,	278.845,	0,
ovm_0121,	5395.19,	601.88,	0,
ovm_0122,	5719.02,	601.854,	0,
ovm_0123,	5718.92,	278.992,	0,
ovm_0124,	5395.17,	278.794,	0,
ovm_0141,	278.141,	1067.09,	0,
ovm_0142,	601.841,	1067.11,	0,
ovm_0143,	601.897,	745.05,	0,
ovm_0144,	278.193,	745.226,	0,
ovm_0151,	744.483,	1067.13,	0,
ovm_0152,	1066.67,	1067.08,	0,
ovm_0153,	1066.77,	745.088,	0,
ovm_0154,	744.496,	745.167,	0,
ovm_0161,	1210.64,	1067.14,	0,
ovm_0162,	1530.55,	1067.11,	0,
ovm_0163,	1530.61,	745.068,	0,
ovm_0164,	1210.64,	745.124,	0,
ovm_0171,	1674.46,	1067.08,	0,
ovm_0172,	1996.37,	1067.11,	0,
ovm_0173,	1996.43,	745.071,	0,
ovm_0174,	1674.43,	745.155,	0,
ovm_0181,	2139.98,	1067.14,	0,
ovm_0182,	2462.19,	1067.11,	0,
ovm_0183,	2462.25,	745.069,	0,
ovm_0184,	2139.94,	745.068,	0,
ovm_0191,	2606.12,	1067.13,	0,
ovm_0192,	2925.6,	1067.14,	0,
ovm_0193,	2925.68,	745.041,	0,
ovm_0194,	2606.06,	745.058,	0,
ovm_0201,	3071.47,	1067.14,	0,
ovm_0202,	3391.01,	1067.12,	0,
ovm_0203,	3391.04,	745.063,	0,
ovm_0204,	3071.39,	745.041,	0,
ovm_0211,	3534.88,	1067.11,	0,
ovm_0212,	3857.04,	1067.14,	0,
ovm_0213,	3857.08,	745.04,	0,
ovm_0214,	3534.82,	745.068,	0,
ovm_0221,	4000.7,	1067.11,	0,
ovm_0222,	4322.62,	1067.08,	0,
ovm_0223,	4322.65,	745.158,	0,
ovm_0224,	4000.64,	745.067,	0,
ovm_0231,	4466.52,	1067.11,	0,
ovm_0232,	4786.42,	1067.13,	0,
ovm_0233,	4786.43,	745.115,	0,
ovm_0234,	4466.46,	745.068,	0,
ovm_0241,	4930.41,	1067.09,	0,
ovm_0242,	5252.53,	1067.13,	0,
ovm_0243,	5252.51,	745.159,	0,
ovm_0244,	4930.31,	745.08,	0,
ovm_0251,	5395.23,	1067.11,	0,
ovm_0252,	5718.97,	1067.09,	0,
ovm_0253,	5718.93,	745.238,	0,
ovm_0254,	5395.17,	745.046,	0,
ovm_0271,	278.043,	1530.57,	0,
ovm_0272,	601.88,	1530.59,	0,
ovm_0273,	601.898,	1211.13,	0,
ovm_0274,	278.086,	1211.26,	0,
ovm_0281,	744.406,	1530.6,	0,
ovm_0282,	1066.73,	1530.57,	0,
ovm_0283,	1066.76,	1211.15,	0,
ovm_0284,	744.486,	1211.21,	0,
ovm_0291,	1210.58,	1530.61,	0,
ovm_0292,	1530.59,	1530.59,	0,
ovm_0293,	1530.61,	1211.14,	0,
ovm_0294,	1210.6,	1211.16,	0,
ovm_0301,	1674.42,	1530.57,	0,
ovm_0302,	1996.41,	1530.59,	0,
ovm_0303,	1996.43,	1211.15,	0,
ovm_0304,	1674.4,	1211.2,	0,
ovm_0311,	2139.94,	1530.61,	0,
ovm_0312,	2462.23,	1530.59,	0,
ovm_0313,	2462.25,	1211.12,	0,
ovm_0314,	2139.95,	1211.12,	0,
ovm_0321,	2606.05,	1530.59,	0,
ovm_0322,	2925.65,	1530.61,	0,
ovm_0323,	2925.68,	1211.12,	0,
ovm_0324,	2606.02,	1211.12,	0,
ovm_0331,	3071.42,	1530.61,	0,
ovm_0332,	3391.01,	1530.6,	0,
ovm_0333,	3391.03,	1211.12,	0,
ovm_0334,	3071.39,	1211.11,	0,
ovm_0341,	3534.84,	1530.59,	0,
ovm_0342,	3857.12,	1530.61,	0,
ovm_0343,	3857.14,	1211.12,	0,
ovm_0344,	3534.82,	1211.13,	0,
ovm_0351,	4000.66,	1530.59,	0,
ovm_0352,	4322.71,	1530.56,	0,
ovm_0353,	4322.68,	1211.2,	0,
ovm_0354,	4000.64,	1211.13,	0,
ovm_0361,	4466.48,	1530.59,	0,
ovm_0362,	4786.47,	1530.6,	0,
ovm_0363,	4786.47,	1211.16,	0,
ovm_0364,	4466.46,	1211.14,	0,
ovm_0371,	4930.34,	1530.56,	0,
ovm_0372,	5252.64,	1530.6,	0,
ovm_0373,	5252.61,	1211.18,	0,
ovm_0374,	4930.31,	1211.15,	0,
ovm_0381,	5395.19,	1530.59,	0,
ovm_0382,	5719.02,	1530.57,	0,
ovm_0383,	5718.96,	1211.26,	0,
ovm_0384,	5395.17,	1211.14,	0,
ovm_0401,	278.054,	1996.38,	0,
ovm_0402,	601.88,	1996.41,	0,
ovm_0403,	601.866,	1675.44,	0,
ovm_0404,	278.068,	1675.55,	0,
ovm_0411,	744.398,	1996.42,	0,
ovm_0412,	1066.73,	1996.39,	0,
ovm_0413,	1066.72,	1675.49,	0,
ovm_0414,	744.446,	1675.47,	0,
ovm_0421,	1210.58,	1996.43,	0,
ovm_0422,	1530.59,	1996.41,	0,
ovm_0423,	1530.57,	1675.44,	0,
ovm_0424,	1210.63,	1675.43,	0,
ovm_0431,	1674.4,	1996.38,	0,
ovm_0432,	1996.41,	1996.41,	0,
ovm_0433,	1996.4,	1675.42,	0,
ovm_0434,	1674.43,	1675.52,	0,
ovm_0441,	2139.93,	1996.43,	0,
ovm_0442,	2462.23,	1996.41,	0,
ovm_0443,	2462.22,	1675.45,	0,
ovm_0444,	2139.96,	1675.42,	0,
ovm_0451,	2606.06,	1996.42,	0,
ovm_0452,	2925.66,	1996.43,	0,
ovm_0453,	2925.63,	1675.4,	0,
ovm_0454,	2606.07,	1675.43,	0,
ovm_0461,	3071.42,	1996.43,	0,
ovm_0462,	3391.03,	1996.42,	0,
ovm_0463,	3391.01,	1675.42,	0,
ovm_0464,	3071.44,	1675.39,	0,
ovm_0471,	3534.84,	1996.41,	0,
ovm_0472,	3857.1,	1996.43,	0,
ovm_0473,	3857.07,	1675.42,	0,
ovm_0474,	3534.86,	1675.42,	0,
ovm_0481,	4000.66,	1996.41,	0,
ovm_0482,	4322.7,	1996.37,	0,
ovm_0483,	4322.67,	1675.51,	0,
ovm_0484,	4000.67,	1675.44,	0,
ovm_0491,	4466.49,	1996.41,	0,
ovm_0492,	4786.49,	1996.43,	0,
ovm_0493,	4786.44,	1675.43,	0,
ovm_0494,	4466.49,	1675.46,	0,
ovm_0501,	4930.34,	1996.39,	0,
